source,translation
Nobody paid me anything,không ai trả tiền cho tôi
Tom didn't marry Mary.,Tom đã không kết hôn với mary.
Tom and Mary were walking side by side,tom và mary đang đi cạnh nhau
He can speak not only English but also French.,anh ấy có thể nói không chỉ tiếng Anh mà còn tiếng Pháp.
I always drink a cup of coffee in the morning,tôi luôn uống một tách cà phê vào buổi sáng
That bicycle is mine.,chiếc xe đạp đó là của tôi
Can we stick to the subject here?,chúng ta có thể bám sát chủ đề ở đây không?
She is handy with a needle.,cô ấy tiện dụng với một cây kim.
Why should I be scared?,tại sao tôi phải sợ?
Read as many books as you can while you are young.,đọc càng nhiều sách càng tốt khi bạn còn trẻ
We don't have the money,chúng tôi không có tiền
You look different somehow.,bạn trông khác nhau
Tom wouldn't have been able to manage without Mary's support,tom sẽ không thể quản lý mà không có sự hỗ trợ của mary
He's lying.,anh ấy đang nói dối.
She communicates well with her teachers,cô ấy giao tiếp tốt với giáo viên của mình
That was a joke.,đó là một trò đùa.
He was affected by the heat,anh ấy bị ảnh hưởng bởi cái nóng
Tomorrow will be another day.,ngày mai sẽ là một ngày khác.
Do you want fruit juice?,bạn có muốn uống nước trái cây không
I didn't know you were a poet.,tôi không biết bạn là một nhà thơ.
Don't leave your dog locked inside a hot car,đừng để con chó của bạn bị nhốt trong một chiếc xe hơi nóng
I'm always under stress.,Tôi luôn bị căng thẳng.
Please promise me that you will never tell a lie again,hãy hứa với tôi rằng bạn sẽ không bao giờ nói dối nữa
He's handsome and charming.,Anh ấy đẹp trai và quyến rũ.
The final piece makes up the whole pie,miếng cuối cùng tạo nên toàn bộ chiếc bánh
"If you didn't eat the cake I made, then your sister did.","nếu bạn không ăn bánh tôi làm, thì chị bạn đã làm."
I'll take him,tôi sẽ đưa anh ta
Let's put the basses on the left.,Hãy đặt bass bên trái.
Keep to the left when driving,giữ bên trái khi lái xe
I thought I'd dropped something.,Tôi nghĩ rằng tôi đã đánh rơi một cái gì đó.
One of my friends knows you,một trong những người bạn của tôi biết bạn
Tom seems so lonely.,Tom có vẻ rất cô đơn.
She was at a loss which way to go,cô ấy không biết đường nào để đi
Tom made me promise not to tell Mary anything.,tom làm tôi hứa sẽ không nói với mary bất cứ điều gì.
Many problems awaited him,nhiều vấn đề đang chờ đợi anh ấy
I've never trusted you and I never will.,Tôi chưa bao giờ tin tưởng bạn và tôi sẽ không bao giờ.
It's the only possible explanation,đó là lời giải thích duy nhất có thể
I can do it in half the time.,tôi có thể làm điều đó trong một nửa thời gian.
We met on a blind date,chúng tôi gặp nhau vào một ngày mù
The famous doctor made a speech on AIDS.,vị bác sĩ nổi tiếng đã phát biểu về viện trợ.
You really do look stunning,bạn thực sự trông tuyệt vời
I thought I could change your mind.,Tôi nghĩ rằng tôi có thể thay đổi tâm trí của bạn.
How much did you get for it?,bạn đã nhận được bao nhiêu cho nó?
I'm hoping to find Tom.,Tôi hy vọng sẽ tìm thấy tom.
Tom didn't even look,tom thậm chí không nhìn
His shoes are wearing thin.,Giày của anh ấy đang mòn.
Put handcuffs on him,còng tay anh ta
I told you that I wasn't interested.,tôi nói với bạn rằng tôi không quan tâm.
He tried to write down everything the teacher said,ông cố gắng viết ra tất cả những gì giáo viên nói
"Since Tom is honest, I like him.","Vì tom là trung thực, tôi thích anh ấy."
"As far as I know, he's an excellent student","theo như tôi biết, anh ấy là một học sinh xuất sắc"
Applications are accepted until tomorrow.,các ứng dụng được chấp nhận cho đến ngày mai.
Will they arrive here tomorrow?,họ sẽ đến đây vào ngày mai chứ?
That man was wearing a tiger mask.,Người đàn ông đó đang đeo mặt nạ hổ.
She showed her courage in the face of danger,cô ấy đã cho thấy sự can đảm của mình khi đối mặt với nguy hiểm
He saw a lot of animals on the road.,anh thấy rất nhiều động vật trên đường.
I have a fever of 102 degrees,tôi bị sốt 102 độ
That young actor is a James Dean.,diễn viên trẻ đó là một trưởng khoa james.
She handed him the key,cô đưa chìa khóa cho anh
I want to make it up to you.,tôi muốn làm cho nó tùy thuộc vào bạn.
The clouds were driven away by the wind,những đám mây bị gió cuốn đi
Tom wrote his phone number on a napkin and handed it to Mary.,Tom đã viết số điện thoại của mình vào một chiếc khăn ăn và đưa nó cho mary.
My friend is seventeen years old,bạn tôi mười bảy tuổi
"We'll get to Boston before it gets dark, I think.","Chúng tôi sẽ đến boston trước khi trời tối, tôi nghĩ vậy."
Tom certainly did what Mary accused him of doing,Tom chắc chắn đã làm những gì mary buộc tội anh ta làm
The only way to handle him is to let him think he is having his own way.,cách duy nhất để xử lý anh ta là để anh ta nghĩ rằng anh ta đang có con đường của riêng mình.
A kiss without a mustache is like an egg without salt,một nụ hôn không có ria mép giống như một quả trứng không có muối
Tom looks a bit queasy.,tom có vẻ hơi khó chịu.
Australia has very strict rules on immigration,Úc có những quy định rất nghiêm ngặt về nhập cư
Tom talks about his ex-girlfriend a lot.,Tom nói về bạn gái cũ của anh ấy rất nhiều.
I have some shopping to do,tôi có một số mua sắm để làm
Don't you have anything smaller than this?,bạn không có cái gì nhỏ hơn cái này à?
Tom has been arrested for murder,tom đã bị bắt vì tội giết người
"You're disappointed, aren't you?",bạn thất vọng phải không?
Who does he look like?,anh ấy trông như thế nào
Tom certainly didn't vote for her.,Tom chắc chắn đã không bỏ phiếu cho cô ấy.
Tom doubts that he'll be able get there on time,Tom nghi ngờ rằng anh ấy sẽ có thể đến đó đúng giờ
